,use,sect,geog,Geography,IUCN,Habit,u,e,c,m,check habit,check IUCN
libani,FALSE,Cerris,U,U,#N/A,Brevideciduous,Eurasia,,,,,
acerifolia,TRUE,Lobatae,E,E,EN,Deciduous,,Eastern N. America,,,,
acuta,TRUE,NA,U,U,DD,Evergreen,Eurasia,,,,,
acutissima,TRUE,Cerris,U,U,LC,Deciduous,Eurasia,,,,,
agrifolia,TRUE,Lobatae,C,C,LC,Evergreen,,,Western N. America,,,
ajoensis,TRUE,Quercus - American,M,M,VU,Evergreen,,,,"Mexico, SW U.S., Central America",,
alba,TRUE,Quercus - American,E,E,LC,Deciduous,,Eastern N. America,,,,
wislizeni,FALSE,Lobatae,C,C,#N/A,Evergreen,,,Western N. America,,,
arkansana,FALSE,Lobatae,E,E,#N/A,Deciduous,,Eastern N. America,,,,
elliottii,FALSE,Lobatae,E,E,#N/A,Deciduous,,Eastern N. America,,,,
hemisphaerica,FALSE,Lobatae,E,E,#N/A,Brevideciduous,,Eastern N. America,,,,
incana,FALSE,Lobatae,E,E,#N/A,Deciduous,,Eastern N. America,,,,
inopina,FALSE,Lobatae,E,E,#N/A,Evergreen,,Eastern N. America,,,,
laevis,FALSE,Lobatae,E,E,#N/A,Deciduous,,Eastern N. America,,,,
laurifolia,FALSE,Lobatae,E,E,#N/A,Brevideciduous,,Eastern N. America,,,,
myrtifolia,FALSE,Lobatae,E,E,#N/A,Evergreen,,Eastern N. America,,,,
aliena,TRUE,Quercus - Eurasian,U,U,LC,Deciduous,Eurasia,,,,,
arizonica,TRUE,Quercus - American,M,M,LC,Brevideciduous,,,,"Mexico, SW U.S., Central America",,
austrina,TRUE,Quercus - American,E,E,VU,Deciduous,,Eastern N. America,,,,
austrocochinchinensis,TRUE,NA,U,U,DD,Evergreen,Eurasia,,,,,
baronii,TRUE,Cerris,U,U,LC,Brevideciduous,Eurasia,,,,,
bicolor,TRUE,Quercus - American,E,E,LC,Deciduous,,Eastern N. America,,,,
boyntonii,TRUE,Quercus - American,E,E,CR,Brevideciduous,,Eastern N. America,,,,
brandegeei,TRUE,Virentes,M,M,EN,Brevideciduous,,,,"Mexico, SW U.S., Central America",,
