"","Geography","Habit","IUCN"
"Q. ajoensis","Mexico, Central America, S.W. U.S.A.","Evergreen","Vulnerable"
"Q. grisea","Mexico, Central America, S.W. U.S.A.","Deciduous","Least Concern"
"Q. oblongifolia","Mexico, Central America, S.W. U.S.A.","Evergreen","Least Concern"
"Q. engelmannii","Western North America","Brevideciduous","Endangered"
"Q. arizonica","Mexico, Central America, S.W. U.S.A.","Brevideciduous","Least Concern"
"Q. laeta","Mexico, Central America, S.W. U.S.A.","Deciduous","Least Concern"
"Q. magnoliifolia","Mexico, Central America, S.W. U.S.A.","Deciduous","Least Concern"
"Q. deserticola","Mexico, Central America, S.W. U.S.A.","Brevideciduous","Least Concern"
"Q. hinckleyi","Mexico, Central America, S.W. U.S.A.","Evergreen","Critically Endangered"
"Q. mohriana","Mexico, Central America, S.W. U.S.A.","Evergreen","Least Concern"
"Q. austrina","Eastern North America","Deciduous","Vulnerable"
"Q. havardii","Mexico, Central America, S.W. U.S.A.","Deciduous","Endangered"
"Q. stellata","Eastern North America","Deciduous","Least Concern"
"Q. boyntonii","Eastern North America","Brevideciduous","Critically Endangered"
"Q. oglethorpensis","Eastern North America","Deciduous","Endangered"
"Q. robur","Eurasia","Deciduous","Least Concern"
"Q. petraea","Eurasia","Deciduous","Least Concern"
"Q. dalechampii","Eurasia","Deciduous","Data Deficient"
"Q. pubescens","Eurasia","Deciduous","Least Concern"
"Q. macranthera","Eurasia","Deciduous","Not evaluated"
"Q. pyrenaica","Eurasia","Deciduous","Least Concern"
"Q. dentata","Eurasia","Deciduous","Least Concern"
"Q. aliena","Eurasia","Deciduous","Least Concern"
"Q. serrata","Eurasia","Deciduous","Least Concern"
"Q. mongolica","Eurasia","Deciduous","Least Concern"
"Q. michauxii","Eastern North America","Deciduous","Least Concern"
"Q. alba","Eastern North America","Deciduous","Least Concern"
"Q. montana","Eastern North America","Deciduous","Least Concern"
"Q. lyrata","Eastern North America","Deciduous","Least Concern"
"Q. bicolor","Eastern North America","Deciduous","Least Concern"
"Q. macrocarpa","Eastern North America","Deciduous","Least Concern"
"Q. prinoides","Eastern North America","Deciduous","Least Concern"
"Q. muehlenbergii","Eastern North America","Deciduous","Least Concern"
"Q. douglasii","Western North America","Deciduous","Least Concern"
"Q. john-tuckeri","Western North America","Evergreen","Least Concern"
"Q. pacifica","Western North America","Brevideciduous","Endangered"
"Q. lobata","Western North America","Deciduous","Near Threatened"
"Q. virginiana","Eastern North America","Brevideciduous","Least Concern"
"Q. oleoides","Mexico, Central America, S.W. U.S.A.","Brevideciduous","Not evaluated"
"Q. brandegeei","Mexico, Central America, S.W. U.S.A.","Brevideciduous","Endangered"
"Q. fusiformis","Mexico, Central America, S.W. U.S.A.","Brevideciduous","Least Concern"
"Q. sadleriana","Western North America","Evergreen","Near Threatened"
"Q. pontica","Eurasia","Brevideciduous","Vulnerable"
"Q. tomentella","Western North America","Evergreen","Endangered"
"Q. vacciniifolia","Western North America","Evergreen","Least Concern"
"Q. chrysolepis","Western North America","Evergreen","Least Concern"
"Q. eduardii","Mexico, Central America, S.W. U.S.A.","Deciduous","Least Concern"
"Q. castanea","Mexico, Central America, S.W. U.S.A.","Brevideciduous","Least Concern"
"Q. gentryi","Mexico, Central America, S.W. U.S.A.","Brevideciduous","Least Concern"
"Q. scytophylla","Mexico, Central America, S.W. U.S.A.","Brevideciduous","Least Concern"
"Q. emoryi","Mexico, Central America, S.W. U.S.A.","Brevideciduous","Least Concern"
"Q. conzattii","Mexico, Central America, S.W. U.S.A.","Deciduous","Least Concern"
"Q. delgadoana","Mexico, Central America, S.W. U.S.A.","Evergreen","Endangered"
"Q. iltisii","Mexico, Central America, S.W. U.S.A.","Evergreen","Data Deficient"
"Q. nigra","Eastern North America","Deciduous","Least Concern"
"Q. phellos","Eastern North America","Deciduous","Least Concern"
"Q. marilandica","Eastern North America","Deciduous","Least Concern"
"Q. falcata","Eastern North America","Deciduous","Least Concern"
"Q. georgiana","Eastern North America","Deciduous","Endangered"
"Q. imbricaria","Eastern North America","Deciduous","Least Concern"
"Q. pagoda","Eastern North America","Deciduous","Least Concern"
"Q. ilicifolia","Eastern North America","Deciduous","Least Concern"
"Q. acerifolia","Eastern North America","Deciduous","Endangered"
"Q. shumardii","Eastern North America","Deciduous","Least Concern"
"Q. buckleyi","Eastern North America","Deciduous","Least Concern"
"Q. rubra","Eastern North America","Deciduous","Least Concern"
"Q. coccinea","Eastern North America","Deciduous","Least Concern"
"Q. ellipsoidalis","Eastern North America","Deciduous","Least Concern"
"Q. velutina","Eastern North America","Deciduous","Least Concern"
"Q. palustris","Eastern North America","Deciduous","Least Concern"
"Q. texana","Eastern North America","Deciduous","Least Concern"
"Q. parvula","Western North America","Evergreen","Near Threatened"
"Q. agrifolia","Western North America","Evergreen","Least Concern"
"Q. kelloggii","Western North America","Deciduous","Least Concern"
"Q. cerris","Eurasia","Deciduous","Least Concern"
"Q. trojana","Eurasia","Deciduous","Least Concern"
"Q. ithaburensis","Eurasia","Brevideciduous","Least Concern"
"Q. acutissima","Eurasia","Deciduous","Least Concern"
"Q. variabilis","Eurasia","Deciduous","Least Concern"
"Q. ilex","Eurasia","Evergreen","Least Concern"
"Q. baronii","Eurasia","Brevideciduous","Least Concern"
"Q. phillyreoides","Eurasia","Evergreen","Not evaluated"
"Q. gilva","Eurasia","Evergreen","Least Concern"
"Q. austrocochinchinensis","Eurasia","Evergreen","Data Deficient"
"Q. acuta","Eurasia","Evergreen","Data Deficient"
